feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
K16320,treatmentOrder,medium,1.243503886,0.529895346,95,95,0.02257416,0.186175661
K03932,treatmentOrder,high,0.618620257,0.263601639,95,95,0.022593494,0.186302018
K09800,treatmentOrder,high,-0.174818963,0.074586161,95,95,0.022604584,0.186360364
K01154,scaledSpeed,scaledSpeed,0.078312338,0.033471668,95,95,0.022644642,0.186624089
K02647,scaledSpeed,scaledSpeed,-0.160310074,0.068673241,95,95,0.022648633,0.186624089
K04073,scaledSpeed,scaledSpeed,-0.219854839,0.094333887,95,95,0.022643558,0.186624089
K01205,scaledThig,scaledThig,0.458076493,0.196051282,95,94,0.022655596,0.186644947
K01724,treatmentOrder,high,-0.197278697,0.084428096,95,95,0.022663225,0.186644947
K03694,treatmentOrder,high,-0.172149359,0.073436525,95,95,0.022659592,0.186644947
K02745,treatmentOrder,medium,-1.121235782,0.477832587,95,95,0.02268313,0.186742617
K02747,treatmentOrder,medium,-1.121619321,0.47798761,95,95,0.022680959,0.186742617
K00879,treatmentOrder,low,-1.584903042,0.676824842,95,92,0.022697925,0.186831285
K06020,scaledBiteRate,scaledBiteRate,-0.194733891,0.083941953,95,95,0.02271729,0.186957536
K13522,treatmentOrder,high,-0.761749352,0.326376355,95,95,0.022737542,0.187063111
K19126,treatmentOrder,low,-1.597573011,0.682591977,95,92,0.022738177,0.187063111
K17382,scaledmetRate,scaledmetRate,-0.795264089,0.342621936,95,68,0.022754482,0.187130927
K19587,scaledSpeed,scaledSpeed,-0.287341678,0.123639519,95,95,0.022752723,0.187130927
K03168,scaledSpeed,scaledSpeed,0.04506697,0.01937674,95,95,0.022780577,0.187312349
K04835,treatmentOrder,high,1.758067039,0.758421647,95,40,0.022792305,0.187375592
K05834,scaledSpeed,scaledSpeed,-0.075113806,0.032171263,95,95,0.022816237,0.187539126
K09775,treatmentOrder,high,0.878755179,0.374601862,95,95,0.022830824,0.1875926
K11891,scaledmetRate,scaledmetRate,-0.080230641,0.034614657,95,95,0.022827298,0.1875926
K11145,treatmentOrder,medium,-1.948711488,0.830362056,95,93,0.022838049,0.187618755
K11041,scaledThig,scaledThig,-0.500136399,0.215838005,95,30,0.022842244,0.187620016
K09707,treatmentOrder,high,0.832724151,0.356559072,95,95,0.022851922,0.187666304
K05995,treatmentOrder,medium,-0.408524513,0.174108359,95,95,0.022861314,0.187710228
K16236,scaledThig,scaledThig,-0.633171552,0.272022679,95,44,0.022880583,0.187835224
K01219,treatmentOrder,low,1.850367661,0.7988467,95,37,0.022892807,0.187902348
K00167,treatmentOrder,medium,0.616761043,0.2631015,95,95,0.022911362,0.18792174
K00364,scaledThig,scaledThig,-0.106292079,0.045734917,95,95,0.022910798,0.18792174
K02744,treatmentOrder,medium,-1.118370026,0.477417082,95,95,0.022902503,0.18792174
K11720,treatmentOrder,high,-0.140786853,0.060440579,95,95,0.022903941,0.18792174
K03652,treatmentOrder,high,0.409923069,0.175562154,95,95,0.022928372,0.188028038
K01643,scaledThig,scaledThig,-0.40049343,0.172803212,95,94,0.022936494,0.188028217
K12678,scaledThig,scaledThig,-0.279204564,0.120348948,95,95,0.022932721,0.188028217
K02839,treatmentOrder,high,0.813090598,0.348827181,95,95,0.023017096,0.188604815
K04844,treatmentOrder,high,1.900327149,0.813800937,95,91,0.023015513,0.188604815
K11009,scaledmetRate,scaledmetRate,-0.793227452,0.342435038,95,68,0.02302308,0.188604815
K13953,treatmentOrder,medium,0.377956673,0.160481311,95,95,0.023019066,0.188604815
K10011,scaledThig,scaledThig,-0.206020834,0.08865284,95,95,0.023036318,0.188679963
K00892,treatmentOrder,medium,-0.945654308,0.403757218,95,95,0.023057606,0.188695489
K02443,treatmentOrder,low,1.034644232,0.442975427,95,93,0.023050468,0.188695489
K14978,treatmentOrder,low,-1.686100046,0.728860072,95,90,0.023062601,0.188695489
K15346,treatmentOrder,low,-1.686100046,0.728860072,95,90,0.023062601,0.188695489
K15350,treatmentOrder,low,-1.686100046,0.728860072,95,90,0.023062601,0.188695489
K15367,treatmentOrder,low,-1.686100046,0.728860072,95,90,0.023062601,0.188695489
K01301,treatmentOrder,medium,-1.938784647,0.838294163,95,31,0.023095124,0.188928287
K06413,scaledBiteRate,scaledBiteRate,-0.708694984,0.306371233,95,37,0.023102261,0.188953374
K07508,scaledThig,scaledThig,0.56074942,0.242192918,95,91,0.023130032,0.189147195
K01250,treatmentOrder,medium,-0.954369246,0.408037901,95,95,0.023138819,0.189154279
K16234,treatmentOrder,low,-0.717009299,0.308105297,95,95,0.023139048,0.189154279
K07507,treatmentOrder,medium,-0.226383488,0.096892732,95,95,0.02314613,0.189178866
K02025,treatmentOrder,medium,0.455908434,0.194527865,95,95,0.023169721,0.189270662
K07230,scaledThig,scaledThig,0.280174068,0.120567351,95,95,0.023167936,0.189270662
K13623,scaledThig,scaledThig,0.214906827,0.092819315,95,95,0.0231763,0.189270662
K16849,scaledThig,scaledThig,-0.558350055,0.241466009,95,92,0.023174342,0.189270662
K17240,treatmentOrder,medium,0.907177846,0.392489688,95,95,0.023177747,0.189270662
K07781,scaledThig,scaledThig,-0.332065327,0.143380426,95,94,0.023186107,0.189289186
K16011,treatmentOrder,medium,0.368577208,0.156834385,95,95,0.02318817,0.189289186
K00758,treatmentOrder,high,0.358547475,0.153938033,95,95,0.023194024,0.18930369
K00052,treatmentOrder,medium,0.179461006,0.076342037,95,95,0.023205002,0.189359991
K04029,treatmentOrder,low,-1.56725889,0.671740722,95,92,0.023222971,0.189473325
K01879,scaledBiteRate,scaledBiteRate,-0.056323909,0.024314037,95,95,0.023261781,0.189723278
K11103,scaledThig,scaledThig,0.043017623,0.018555978,95,95,0.023259697,0.189723278
K02775,treatmentOrder,low,-1.47176747,0.631293013,95,93,0.023285411,0.189882645
K03752,scaledBiteRate,scaledBiteRate,-0.068977759,0.029681596,95,95,0.023293844,0.189918058
K13665,scaledBiteRate,scaledBiteRate,0.511120624,0.221062725,95,42,0.023298711,0.18992438
K11208,scaledSpeed,scaledSpeed,-0.179798072,0.077531955,95,95,0.023304509,0.189938291
K10773,scaledSpeed,scaledSpeed,0.038297077,0.016552372,95,95,0.023320002,0.189997855
K13631,scaledThig,scaledThig,-0.340818726,0.14738597,95,95,0.023317797,0.189997855
K00038,scaledBiteRate,scaledBiteRate,0.352167245,0.152546158,95,94,0.02333701,0.190103061
K18954,treatmentOrder,high,0.549329218,0.236356037,95,95,0.023349202,0.190169006
K01039,treatmentOrder,medium,0.706716256,0.302258566,95,95,0.02336081,0.190196813
K15314,scaledmetRate,scaledmetRate,-0.480218718,0.207866507,95,13,0.023358046,0.190196813
K11929,scaledThig,scaledThig,-0.331428854,0.14332332,95,94,0.023388689,0.190390408
K01524,scaledmetRate,scaledmetRate,0.024952303,0.010799701,95,95,0.023402234,0.190467274
K07048,treatmentOrder,medium,0.759720305,0.323949469,95,95,0.023408081,0.190481462
K11907,scaledmetRate,scaledmetRate,-0.076754455,0.033266634,95,95,0.023423885,0.190543269
K13641,scaledThig,scaledThig,-0.180135416,0.077879844,95,95,0.023421264,0.190543269
K09939,treatmentOrder,medium,-0.384385611,0.164902141,95,95,0.023431287,0.190570089
K13005,treatmentOrder,low,-1.680882074,0.728768685,95,90,0.023460926,0.190777727
K00713,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K01195,scaledThig,scaledThig,0.253560785,0.10962258,95,95,0.02354007,0.190783216
K01822,treatmentOrder,medium,0.899930947,0.386180192,95,95,0.023490268,0.190783216
K02594,treatmentOrder,medium,-0.877471896,0.377305726,95,94,0.023576814,0.190783216
K03429,treatmentOrder,medium,1.424143758,0.605686468,95,94,0.023499235,0.190783216
K03641,treatmentOrder,high,-0.168628878,0.072584495,95,95,0.02358267,0.190783216
K03781,treatmentOrder,high,0.346473318,0.149134887,95,95,0.023508569,0.190783216
K04026,treatmentOrder,low,-1.593741928,0.684977482,95,92,0.023540451,0.190783216
K06146,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K07543,treatmentOrder,low,2.103226929,0.912211096,95,58,0.023509599,0.190783216
K07790,treatmentOrder,low,-1.683730041,0.730450295,95,90,0.023543481,0.190783216
K09953,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K10019,treatmentOrder,medium,0.705843118,0.301563515,95,95,0.023527716,0.190783216
K11023,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K11922,treatmentOrder,high,1.704249377,0.732567627,95,92,0.023538501,0.190783216
K13085,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K13286,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K13635,scaledThig,scaledThig,-0.09865532,0.04261312,95,95,0.023530398,0.190783216
K13774,scaledThig,scaledThig,0.217341264,0.093926735,95,95,0.023474529,0.190783216
K14275,scaledThig,scaledThig,0.301711064,0.130848505,95,24,0.023499754,0.190783216
K14587,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K15351,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K15353,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K16078,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K18589,treatmentOrder,medium,1.546805931,0.66370988,95,87,0.023478389,0.190783216
K18795,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K19298,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K19314,treatmentOrder,medium,2.624143483,1.121860879,95,76,0.023572546,0.190783216
K19555,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K19556,treatmentOrder,low,-1.682617829,0.730191441,95,90,0.023584889,0.190783216
K00166,treatmentOrder,medium,0.613127768,0.262952223,95,95,0.023610226,0.190816953
K05844,treatmentOrder,high,0.314841712,0.135504837,95,95,0.023604637,0.190816953
K10972,scaledmetRate,scaledmetRate,0.478207778,0.206983899,95,93,0.02360364,0.190816953
K11889,scaledThig,scaledThig,0.416197876,0.180406726,95,91,0.023615574,0.190816953
K11934,scaledThig,scaledThig,-0.329715426,0.142764288,95,95,0.023602016,0.190816953
K12516,treatmentOrder,low,-1.682471496,0.730279912,95,90,0.023613049,0.190816953
K18967,treatmentOrder,medium,1.543979923,0.6628017,95,86,0.023621942,0.190816953
K19548,scaledSpeed,scaledSpeed,0.433818781,0.188257889,95,91,0.023620323,0.190816953
K06871,scaledBiteRate,scaledBiteRate,0.179396673,0.077633265,95,95,0.023633132,0.190827082
K08884,treatmentOrder,high,0.438076593,0.1901853,95,95,0.023639634,0.190827082
K13450,treatmentOrder,low,-1.682729277,0.730535225,95,90,0.023639638,0.190827082
K13923,treatmentOrder,low,-1.684516987,0.731285766,95,90,0.023634901,0.190827082
K16554,scaledThig,scaledThig,0.270376195,0.117365626,95,95,0.023653561,0.190906276
K06033,treatmentOrder,high,1.65725262,0.712337098,95,84,0.023665011,0.190932307
K14585,scaledSpeed,scaledSpeed,0.494810169,0.214743761,95,77,0.023662142,0.190932307
K02848,scaledSpeed,scaledSpeed,-0.176567489,0.076338761,95,95,0.023676505,0.190991849
K00106,scaledSpeed,scaledSpeed,0.435394769,0.188833194,95,90,0.023692358,0.191086523
K01626,scaledThig,scaledThig,-0.056295438,0.024328345,95,95,0.023698937,0.191106383
K00183,scaledSpeed,scaledSpeed,0.494521949,0.214685113,95,77,0.023704061,0.191114508
K00705,scaledSpeed,scaledSpeed,0.084554414,0.036642241,95,95,0.023710902,0.19112599
K12963,scaledThig,scaledThig,-0.206544419,0.089334587,95,95,0.023717836,0.19112599
K13014,scaledThig,scaledThig,-0.206544883,0.089334542,95,95,0.023717467,0.19112599
K19238,scaledmetRate,scaledmetRate,0.477902341,0.207036551,95,93,0.023727979,0.191174542
K10907,treatmentOrder,medium,1.433036994,0.611641116,95,94,0.02373405,0.191175443
K19339,scaledThig,scaledThig,0.256926833,0.11101888,95,95,0.023736327,0.191175443
K00605,scaledThig,scaledThig,0.042859169,0.018471151,95,95,0.023757554,0.191214189
K01720,treatmentOrder,high,0.555707411,0.239654807,95,95,0.023753961,0.191214189
K06904,treatmentOrder,low,-0.458932931,0.197839358,95,95,0.023757555,0.191214189
K07443,treatmentOrder,medium,-0.239388236,0.102969661,95,95,0.023761732,0.191214189
K19416,scaledSpeed,scaledSpeed,-0.084606239,0.036577304,95,95,0.023758835,0.191214189
K01610,scaledBiteRate,scaledBiteRate,0.08078528,0.035066333,95,95,0.023772706,0.19126934
K00483,scaledmetRate,scaledmetRate,-0.216877353,0.094257062,95,95,0.023787442,0.191354741
K03394,scaledThig,scaledThig,0.11292795,0.048993996,95,95,0.023804614,0.191426539
K16516,scaledBiteRate,scaledBiteRate,-0.292011521,0.126808476,95,95,0.023801906,0.191426539
K00686,scaledBiteRate,scaledBiteRate,-0.63277137,0.274956338,95,34,0.023818574,0.191454955
K07690,scaledmetRate,scaledmetRate,-0.199095655,0.086528191,95,95,0.023812486,0.191454955
K08984,scaledThig,scaledThig,-0.13753369,0.059424516,95,95,0.02382052,0.191454955
K19125,treatmentOrder,low,-1.58579329,0.683206991,95,92,0.023835687,0.191543695
K02042,scaledSpeed,scaledSpeed,-0.089547932,0.038826272,95,95,0.023844585,0.19158204
K10010,treatmentOrder,medium,0.4592548,0.196908683,95,95,0.023873018,0.191751383
K19062,treatmentOrder,medium,-0.809111543,0.346588645,95,95,0.023873923,0.191751383
K05349,treatmentOrder,high,0.460042124,0.198336851,95,95,0.023889992,0.191847256
K01561,treatmentOrder,medium,0.42217931,0.183630291,95,95,0.023896552,0.191866751
K02017,scaledBiteRate,scaledBiteRate,-0.054576972,0.023686826,95,95,0.023905074,0.191901977
K13921,treatmentOrder,low,-1.680507712,0.731039177,95,90,0.023913142,0.191933559
K10565,treatmentOrder,medium,0.852604484,0.365040381,95,95,0.023962996,0.192300457
K05524,treatmentOrder,medium,0.317644693,0.138241407,95,95,0.023974963,0.19235088
K13444,treatmentOrder,medium,-2.46920244,1.062104118,95,61,0.023977566,0.19235088
K00461,scaledBiteRate,scaledBiteRate,-0.603579413,0.262729761,95,43,0.024008976,0.192403366
K01708,treatmentOrder,medium,0.425166574,0.182072101,95,95,0.02400064,0.192403366
K03098,scaledThig,scaledThig,0.044500685,0.019332231,95,95,0.023992185,0.192403366
K07743,scaledBiteRate,scaledBiteRate,-0.603579413,0.262729761,95,43,0.024008976,0.192403366
K10704,scaledBiteRate,scaledBiteRate,-0.603579413,0.262729761,95,43,0.024008976,0.192403366
K14376,scaledBiteRate,scaledBiteRate,-0.603579413,0.262729761,95,43,0.024008976,0.192403366
K18028,treatmentOrder,high,0.797850452,0.345264114,95,95,0.02401332,0.192404968
K00248,scaledThig,scaledThig,0.150978089,0.065658494,95,95,0.02403513,0.192546483
K01040,treatmentOrder,medium,0.70483303,0.303010479,95,95,0.024057304,0.192574106
K02425,scaledSpeed,scaledSpeed,-0.334975073,0.145676539,95,94,0.024052119,0.192574106
K02909,scaledThig,scaledThig,-0.024479079,0.010582245,95,95,0.024062304,0.192574106
K05527,scaledBiteRate,scaledBiteRate,-0.058501669,0.025408996,95,95,0.024053396,0.192574106
K07119,scaledSpeed,scaledSpeed,-0.071866282,0.031053167,95,95,0.024063467,0.192574106
K08715,scaledThig,scaledThig,0.239235336,0.10386918,95,95,0.024051238,0.192574106
K01960,treatmentOrder,medium,0.72234041,0.310984864,95,95,0.024077952,0.192656819
K04020,treatmentOrder,low,-1.579834003,0.681852971,95,92,0.024091793,0.192734342
K00362,scaledBiteRate,scaledBiteRate,-0.058817274,0.025554979,95,95,0.024099362,0.192751282
K08651,treatmentOrder,high,-1.882281838,0.814992949,95,84,0.024102214,0.192751282
K01258,treatmentOrder,medium,-0.311422033,0.133989264,95,95,0.024129139,0.192909579
K06600,scaledSpeed,scaledSpeed,-0.289583449,0.1258607,95,95,0.024130319,0.192909579
K03430,scaledSpeed,scaledSpeed,-0.161030708,0.069843248,95,95,0.024135433,0.19291724
K18838,treatmentOrder,medium,-1.144982148,0.493434713,95,95,0.024154547,0.193036789
K00857,scaledBiteRate,scaledBiteRate,0.088281357,0.03840187,95,95,0.024161086,0.193055809
K17247,scaledSpeed,scaledSpeed,-0.076722765,0.03329677,95,95,0.024171131,0.193092547
K18546,scaledmetRate,scaledmetRate,0.744782292,0.324462436,95,77,0.024174002,0.193092547
K03153,treatmentOrder,medium,0.349733272,0.152432532,95,95,0.024178524,0.193095437
K06887,scaledThig,scaledThig,0.278961287,0.120912677,95,95,0.02420411,0.193201646
K18115,scaledBiteRate,scaledBiteRate,-0.62522255,0.272400627,95,29,0.024204393,0.193201646
K19275,treatmentOrder,low,1.610721552,0.70219159,95,24,0.024208469,0.193201646
K19645,treatmentOrder,low,1.610721552,0.70219159,95,24,0.024208469,0.193201646
K03692,treatmentOrder,medium,1.8226153,0.784849964,95,83,0.024217703,0.193242118
K06144,scaledSpeed,scaledSpeed,-0.334755015,0.145765172,95,94,0.024224125,0.193260145
K17322,treatmentOrder,high,0.451939252,0.194284499,95,95,0.024229978,0.193273624
K03482,treatmentOrder,medium,-1.110924701,0.479130258,95,95,0.024264703,0.193485279
K12139,scaledThig,scaledThig,-0.444687619,0.193463407,95,34,0.024264848,0.193485279
K03077,treatmentOrder,medium,-1.026680691,0.44324247,95,95,0.024283387,0.193539264
K05568,scaledmetRate,scaledmetRate,0.214217915,0.09312656,95,95,0.024288087,0.193539264
K13776,scaledThig,scaledThig,0.194092979,0.084354338,95,95,0.024275802,0.193539264
K18473,treatmentOrder,low,-0.941038281,0.407894144,95,95,0.024288294,0.193539264
K03559,treatmentOrder,high,-0.155789343,0.067374961,95,95,0.024313616,0.193707795
K02024,scaledThig,scaledThig,-0.143233815,0.062297514,95,95,0.024320208,0.193727068
K06190,treatmentOrder,high,-0.17497076,0.075507874,95,95,0.024335243,0.193813577
K03607,treatmentOrder,medium,-0.518968199,0.224085766,95,95,0.02434609,0.193847247
K18099,scaledThig,scaledThig,0.653922659,0.285048458,95,85,0.024347822,0.193847247
K02109,scaledSpeed,scaledSpeed,0.032123529,0.013979934,95,95,0.024353317,0.193857748
K14053,treatmentOrder,high,1.825032136,0.789213408,95,91,0.024362342,0.19389634
K02274,treatmentOrder,medium,0.375775842,0.162120147,95,95,0.02437002,0.193924208
K05845,scaledSpeed,scaledSpeed,-0.166584694,0.072710695,95,95,0.024387363,0.194028953
K03570,scaledSpeed,scaledSpeed,0.039466538,0.017147066,95,95,0.024405855,0.194141508
K07784,treatmentOrder,medium,-1.05784737,0.456593161,95,95,0.024409874,0.194141508
K00299,treatmentOrder,medium,0.332300112,0.145113262,95,95,0.024444487,0.194283665
K01934,scaledSpeed,scaledSpeed,0.042189626,0.018402136,95,95,0.02444047,0.194283665
K02391,scaledSpeed,scaledSpeed,-0.059924071,0.026047752,95,95,0.024437442,0.194283665
K08302,treatmentOrder,medium,-1.047666566,0.452295575,95,95,0.024433702,0.194283665
K06905,scaledSpeed,scaledSpeed,-0.163222567,0.071229368,95,95,0.024464605,0.194377004
K14335,treatmentOrder,high,0.637273306,0.276296701,95,95,0.024463253,0.194377004
K05594,scaledSpeed,scaledSpeed,-0.334026071,0.145700703,95,94,0.024470537,0.194390861
K15479,scaledmetRate,scaledmetRate,-0.406357038,0.176945808,95,36,0.024483457,0.194460222
K18144,treatmentOrder,medium,-0.728973923,0.314294976,95,95,0.024487669,0.194460411
K02849,scaledThig,scaledThig,-0.265505652,0.115941964,95,95,0.024496486,0.194497154
K06493,treatmentOrder,medium,1.69404308,0.731680629,95,79,0.024512537,0.194591313
K00019,scaledThig,scaledThig,0.109354059,0.047696,95,95,0.0245242,0.19465062
K03319,treatmentOrder,low,-0.54506001,0.236268599,95,95,0.024541257,0.194752703
K02774,treatmentOrder,medium,-1.532546757,0.669849991,95,93,0.024568383,0.194934645
K07477,treatmentOrder,high,-1.745029626,0.757763959,95,37,0.024585893,0.195040238
K13486,treatmentOrder,medium,0.692903132,0.299082034,95,95,0.024597251,0.195097004
K12368,scaledSpeed,scaledSpeed,-0.150281484,0.065425773,95,95,0.024605423,0.195128488
K08357,treatmentOrder,medium,-0.798162451,0.344656418,95,95,0.02461547,0.195141492
K08359,treatmentOrder,medium,-0.798162451,0.344656418,95,95,0.02461547,0.195141492
K12069,scaledBiteRate,scaledBiteRate,0.345268606,0.150892791,95,95,0.024623042,0.195168195
K01737,scaledThig,scaledThig,0.114596528,0.049953798,95,95,0.024655964,0.195248954
K02058,treatmentOrder,medium,0.346424053,0.149353586,95,95,0.024658433,0.195248954
K03410,scaledThig,scaledThig,0.192421831,0.083735445,95,95,0.024642792,0.195248954
K07358,treatmentOrder,high,1.494255264,0.649016429,95,88,0.024640865,0.195248954
K08996,scaledThig,scaledThig,-0.4410696,0.19204114,95,86,0.024658466,0.195248954
K09016,scaledSpeed,scaledSpeed,-0.331633514,0.144628594,95,93,0.024654743,0.195248954
K00694,treatmentOrder,high,0.389129959,0.167668111,95,95,0.024671995,0.19526428
K01839,scaledThig,scaledThig,-0.117784775,0.051303038,95,95,0.02467048,0.19526428
K12151,scaledThig,scaledThig,-0.329240314,0.143697291,95,94,0.02467302,0.19526428
K11913,scaledThig,scaledThig,0.348926137,0.152487177,95,94,0.024702451,0.195463881
K03312,scaledBiteRate,scaledBiteRate,-0.152790108,0.066420672,95,95,0.02472221,0.195567789
K03445,treatmentOrder,high,-0.457429275,0.197860006,95,95,0.024745071,0.195567789
K04040,scaledmetRate,scaledmetRate,0.257787006,0.112445908,95,95,0.024744251,0.195567789
K06975,scaledThig,scaledThig,0.082024726,0.035709731,95,95,0.024742328,0.195567789
K07349,treatmentOrder,high,1.266304016,0.55053505,95,93,0.024731096,0.195567789
K08172,treatmentOrder,high,1.221094794,0.531179492,95,93,0.024739777,0.195567789
K13497,treatmentOrder,high,1.028450175,0.446821662,95,95,0.024730186,0.195567789
K02014,scaledThig,scaledThig,0.059359715,0.02585063,95,95,0.024771338,0.195735252
K06446,treatmentOrder,medium,0.557517036,0.24067528,95,95,0.024774693,0.195735252
K07096,scaledThig,scaledThig,0.389080348,0.170318486,95,94,0.024780156,0.195745104
K08252,scaledThig,scaledThig,0.365116787,0.159859669,95,94,0.024807454,0.195894072
K18009,treatmentOrder,high,0.822053453,0.357261464,95,95,0.0248073,0.195894072
K04063,treatmentOrder,high,0.493454096,0.214374278,95,95,0.024849995,0.196129912
K07774,scaledThig,scaledThig,0.117053428,0.051241329,95,95,0.024847735,0.196129912
K08295,treatmentOrder,high,0.549132876,0.238706432,95,95,0.024847086,0.196129912
K16708,scaledSpeed,scaledSpeed,-0.533392271,0.232834985,95,80,0.024857139,0.196152949
K02862,treatmentOrder,high,2.020125032,0.877567529,95,90,0.024883866,0.196330487
K11066,treatmentOrder,medium,-0.374097152,0.161766424,95,95,0.024919308,0.19657671
K07788,scaledSpeed,scaledSpeed,-0.137875377,0.060416196,95,95,0.024924769,0.196586388
K12147,scaledThig,scaledThig,-0.328196205,0.143545225,95,94,0.024939281,0.196667435
K19191,treatmentOrder,medium,0.845530705,0.364129758,95,95,0.024951618,0.196731305
K04084,scaledThig,scaledThig,0.05973447,0.02605962,95,95,0.025004344,0.197113548
K12267,scaledSpeed,scaledSpeed,0.207143252,0.090848868,95,95,0.02504764,0.197421332
K02465,scaledmetRate,scaledmetRate,-0.59925018,0.262690914,95,57,0.025064146,0.197517892
K03851,treatmentOrder,medium,1.041695507,0.450657579,95,93,0.02508188,0.1976241
K03757,treatmentOrder,medium,-1.113855114,0.483405748,95,95,0.025114474,0.197740834
K03765,treatmentOrder,medium,-1.113387922,0.483207659,95,95,0.025116486,0.197740834
K05997,scaledThig,scaledThig,-0.325662807,0.142569878,95,95,0.025117993,0.197740834
K07063,scaledThig,scaledThig,0.42760114,0.187488546,95,89,0.025113415,0.197740834
K08173,scaledThig,scaledThig,-0.236543743,0.103403843,95,95,0.025112953,0.197740834
K07789,treatmentOrder,high,0.423035951,0.183060947,95,95,0.025138882,0.197842853
K15315,scaledmetRate,scaledmetRate,-0.470636389,0.206349509,95,13,0.025139475,0.197842853
K13491,treatmentOrder,medium,0.691772673,0.299811935,95,95,0.025147685,0.197873923
K01922,treatmentOrder,medium,1.628260004,0.704867725,95,94,0.025154642,0.197895123
K01904,scaledThig,scaledThig,0.594201732,0.260675042,95,89,0.025163895,0.197934374
K00701,treatmentOrder,medium,1.954496562,0.846833583,95,78,0.025180205,0.197962038
K02846,scaledThig,scaledThig,-0.326817448,0.143180531,95,94,0.025176882,0.197962038
K19727,treatmentOrder,medium,2.773612389,1.203499732,95,52,0.025178082,0.197962038
K11692,scaledBiteRate,scaledBiteRate,-0.379415142,0.166480748,95,24,0.025194029,0.197980927
K12291,scaledSpeed,scaledSpeed,-0.334888285,0.146834098,95,94,0.02519405,0.197980927
K16565,scaledThig,scaledThig,0.275780739,0.12102244,95,95,0.025195401,0.197980927
K07536,treatmentOrder,medium,0.863826332,0.37405094,95,95,0.025200492,0.197987418
K01684,treatmentOrder,medium,0.472199865,0.204388674,95,95,0.025235775,0.198231069
K12987,scaledmetRate,scaledmetRate,-0.518531647,0.227425877,95,88,0.025245445,0.198273481
K03971,scaledThig,scaledThig,-0.327343204,0.14349046,95,94,0.025250803,0.198282015
K14083,treatmentOrder,medium,0.790734989,0.341722945,95,95,0.025258542,0.198309245
K13489,treatmentOrder,medium,0.689997385,0.299277732,95,95,0.025264954,0.198326041
K09612,scaledThig,scaledThig,-0.327220255,0.143483001,95,94,0.025296639,0.198541194
K14028,treatmentOrder,medium,1.068193017,0.464667663,95,93,0.025328569,0.198724605
K14029,treatmentOrder,medium,1.068193017,0.464667663,95,93,0.025328569,0.198724605
K02275,treatmentOrder,medium,0.379978862,0.165138056,95,95,0.025338672,0.198758249
K11924,treatmentOrder,high,0.557944971,0.242227497,95,95,0.02534142,0.198758249
K08081,scaledSpeed,scaledSpeed,-0.269782465,0.118518715,95,95,0.025346544,0.198764861
K00604,scaledSpeed,scaledSpeed,0.036159869,0.015835248,95,95,0.025361163,0.198807249
K02055,treatmentOrder,medium,0.397236703,0.172060897,95,95,0.025369079,0.198807249
K10678,treatmentOrder,medium,-0.914544021,0.397750526,95,95,0.025368705,0.198807249
K13635,scaledBiteRate,scaledBiteRate,-0.106538234,0.0467354,95,95,0.025368495,0.198807249
K02398,scaledSpeed,scaledSpeed,-0.076547452,0.033468047,95,95,0.025383817,0.198855606
K02670,scaledBiteRate,scaledBiteRate,-0.109859416,0.048218217,95,95,0.025383664,0.198855606
K12567,scaledThig,scaledThig,-0.649583157,0.284245598,95,47,0.025401516,0.198927123
K18104,treatmentOrder,medium,2.148677165,0.934697802,95,62,0.025399103,0.198927123
K05839,scaledThig,scaledThig,-0.327003794,0.143459056,95,95,0.025420555,0.199014676
K07390,treatmentOrder,high,-0.145176549,0.063337008,95,95,0.02542127,0.199014676
K02387,scaledSpeed,scaledSpeed,-0.057782709,0.025290865,95,95,0.025446212,0.19917635
K00663,treatmentOrder,medium,0.838435321,0.365139927,95,95,0.025458495,0.199238904
K11444,treatmentOrder,medium,0.692076409,0.300673283,95,95,0.025475235,0.19933631
K09844,treatmentOrder,medium,0.821301055,0.356562428,95,95,0.025486295,0.199362669
K18277,scaledThig,scaledThig,0.248567802,0.108733201,95,95,0.025487193,0.199362669
K05708,treatmentOrder,high,1.425842983,0.623394997,95,94,0.025494581,0.199386865
K04017,treatmentOrder,high,-1.750175282,0.764861308,95,23,0.025500806,0.199401958
K09747,scaledSpeed,scaledSpeed,0.028761463,0.0126196,95,95,0.025508145,0.199425751
