feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
K07503,treatmentOrder,high,2.989473768,0.430216135,95,95,6.40E-10,4.12E-07
K18957,treatmentOrder,high,4.485690096,0.614059453,95,87,7.56E-10,4.81E-07
K12429,treatmentOrder,high,3.91758605,0.542013771,95,92,8.82E-10,5.53E-07
K12421,treatmentOrder,high,4.409241013,0.604453933,95,89,8.94E-10,5.53E-07
K19052,treatmentOrder,high,4.777856254,0.654478162,95,90,9.29E-10,5.66E-07
K19311,treatmentOrder,high,4.035221345,0.557894783,95,92,9.39E-10,5.66E-07
K11387,treatmentOrder,high,3.649012479,0.507215502,95,93,9.85E-10,5.72E-07
K11921,treatmentOrder,high,1.660400463,0.242083618,95,95,9.63E-10,5.72E-07
K12951,treatmentOrder,high,4.715400544,0.649495649,95,87,9.74E-10,5.72E-07
K03813,treatmentOrder,high,-2.918052821,0.426911867,95,94,1.07E-09,5.85E-07
K07671,treatmentOrder,high,3.894640162,0.542337524,95,92,1.05E-09,5.85E-07
K14136,treatmentOrder,high,4.024978988,0.559552979,95,93,1.06E-09,5.85E-07
K14337,treatmentOrder,high,3.931648361,0.548879173,95,93,1.05E-09,5.85E-07
K16444,treatmentOrder,high,4.479953064,0.615510616,95,89,1.04E-09,5.85E-07
K12466,treatmentOrder,high,4.179476386,0.57572562,95,88,1.09E-09,5.87E-07
K05917,treatmentOrder,high,3.288718545,0.452389899,95,94,1.12E-09,5.98E-07
K16648,treatmentOrder,high,4.030014066,0.561269098,95,93,1.14E-09,6.00E-07
K01616,treatmentOrder,high,4.00808974,0.559663117,95,93,1.15E-09,6.01E-07
K16652,treatmentOrder,high,4.010259595,0.559755391,95,93,1.19E-09,6.12E-07
K18955,treatmentOrder,high,3.304157906,0.460066586,95,95,1.21E-09,6.15E-07
K14699,treatmentOrder,high,4.704991414,0.652627908,95,87,1.23E-09,6.20E-07
K16645,treatmentOrder,high,4.03731208,0.565100734,95,92,1.28E-09,6.40E-07
K14949,treatmentOrder,high,3.974000676,0.559811679,95,93,1.40E-09,6.93E-07
K09118,treatmentOrder,high,2.29297514,0.33856403,95,95,1.42E-09,6.95E-07
K07653,treatmentOrder,high,3.838055016,0.540420689,95,93,1.51E-09,7.06E-07
K09146,treatmentOrder,high,3.990126733,0.56148284,95,92,1.49E-09,7.06E-07
K10008,treatmentOrder,high,3.093910607,0.431573762,95,95,1.50E-09,7.06E-07
K18937,treatmentOrder,high,4.728822403,0.660658818,95,87,1.48E-09,7.06E-07
K06994,treatmentOrder,high,3.288500613,0.463231606,95,95,1.75E-09,8.08E-07
K10006,treatmentOrder,high,3.086550919,0.433138313,95,95,1.77E-09,8.08E-07
K16653,treatmentOrder,high,3.743387347,0.530729911,95,93,1.78E-09,8.08E-07
K10007,treatmentOrder,high,3.088306828,0.434273595,95,95,1.88E-09,8.49E-07
K16046,treatmentOrder,high,4.084314309,0.580638984,95,92,1.93E-09,8.52E-07
K18481,treatmentOrder,high,4.088288892,0.581238046,95,92,1.92E-09,8.52E-07
K14339,treatmentOrder,high,3.980973939,0.566686425,95,93,1.99E-09,8.65E-07
K15510,treatmentOrder,high,3.490307728,0.493946074,95,93,1.99E-09,8.65E-07
K14698,treatmentOrder,high,4.675539945,0.660934812,95,87,2.02E-09,8.70E-07
K13540,treatmentOrder,high,3.950212592,0.563971922,95,94,2.12E-09,9.01E-07
K00622,treatmentOrder,high,4.692306725,0.664307666,95,87,2.14E-09,9.01E-07
K18917,treatmentOrder,high,3.548365433,0.500620223,95,95,2.15E-09,9.01E-07
K10005,treatmentOrder,high,3.079960565,0.437070676,95,95,2.34E-09,9.53E-07
K15525,treatmentOrder,high,3.824729138,0.54554878,95,95,2.33E-09,9.53E-07
K16191,treatmentOrder,high,4.362208409,0.622929858,95,87,2.31E-09,9.53E-07
K19189,treatmentOrder,high,4.058786288,0.575621155,95,89,2.50E-09,1.01E-06
K15320,treatmentOrder,high,4.697487219,0.670417357,95,87,2.61E-09,1.04E-06
K15981,treatmentOrder,high,4.06362085,0.585908749,95,92,2.73E-09,1.08E-06
K16870,treatmentOrder,high,3.715163024,0.537509226,95,93,2.79E-09,1.10E-06
K00545,treatmentOrder,high,4.350513654,0.625431122,95,87,2.85E-09,1.11E-06
K15855,treatmentOrder,high,4.322318242,0.622429834,95,87,2.90E-09,1.12E-06
K08677,treatmentOrder,high,3.65778582,0.532524014,95,93,3.00E-09,1.15E-06
K07009,treatmentOrder,high,3.015741975,0.43364442,95,95,3.05E-09,1.16E-06
K18851,treatmentOrder,high,4.200115824,0.610413575,95,93,3.48E-09,1.31E-06
K03922,treatmentOrder,high,4.338686992,0.630300194,95,87,3.72E-09,1.35E-06
K12423,treatmentOrder,high,4.337259706,0.630124101,95,87,3.72E-09,1.35E-06
K12433,treatmentOrder,high,4.341066621,0.630257189,95,87,3.66E-09,1.35E-06
K14215,treatmentOrder,high,4.338686992,0.630300194,95,87,3.72E-09,1.35E-06
K16045,treatmentOrder,high,4.338686992,0.630300194,95,87,3.72E-09,1.35E-06
K10215,treatmentOrder,high,4.340083194,0.630693283,95,87,3.75E-09,1.35E-06
K04789,treatmentOrder,high,4.31956882,0.62929335,95,87,4.12E-09,1.42E-06
K04790,treatmentOrder,high,4.31956882,0.62929335,95,87,4.12E-09,1.42E-06
K04791,treatmentOrder,high,4.31956882,0.62929335,95,87,4.12E-09,1.42E-06
K04792,treatmentOrder,high,4.31956882,0.62929335,95,87,4.12E-09,1.42E-06
K04793,treatmentOrder,high,4.31956882,0.62929335,95,87,4.12E-09,1.42E-06
K07465,treatmentOrder,high,3.876088864,0.566403002,95,95,4.07E-09,1.42E-06
K04787,treatmentOrder,high,4.321559703,0.630439087,95,87,4.30E-09,1.47E-06
K16146,treatmentOrder,high,4.416743146,0.643901573,95,91,4.67E-09,1.58E-06
K14956,treatmentOrder,high,4.301591413,0.63120398,95,87,4.87E-09,1.64E-06
K05364,treatmentOrder,high,2.78116753,0.428486287,95,95,5.06E-09,1.68E-06
K17840,treatmentOrder,high,4.394982241,0.645030772,95,87,5.06E-09,1.68E-06
K00153,treatmentOrder,high,3.315025085,0.483872287,95,95,5.18E-09,1.71E-06
K18958,treatmentOrder,high,3.855381021,0.568769612,95,95,5.28E-09,1.73E-06
K05558,treatmentOrder,high,4.063372842,0.602506866,95,91,5.31E-09,1.73E-06
K09994,treatmentOrder,high,2.824916585,0.410760224,95,95,5.36E-09,1.73E-06
K11385,treatmentOrder,high,4.310410079,0.634055651,95,87,5.40E-09,1.73E-06
K18215,treatmentOrder,high,4.326659877,0.638061991,95,87,5.49E-09,1.75E-06
K00999,treatmentOrder,high,4.766457242,0.70143297,95,87,5.75E-09,1.81E-06
K13571,treatmentOrder,high,3.298042038,0.483390641,95,95,5.95E-09,1.87E-06
K14954,treatmentOrder,high,4.315539324,0.641402016,95,87,6.03E-09,1.88E-06
K13570,treatmentOrder,high,3.496528736,0.5128327,95,95,6.14E-09,1.90E-06
K08256,treatmentOrder,high,3.825818999,0.568265579,95,95,6.27E-09,1.93E-06
K11609,treatmentOrder,high,4.090758501,0.605300984,95,92,6.58E-09,2.01E-06
K13671,treatmentOrder,high,3.656401139,0.544996125,95,94,6.80E-09,2.06E-06
K18913,treatmentOrder,high,4.317203991,0.641539308,95,87,6.82E-09,2.06E-06
K18472,treatmentOrder,high,3.954142288,0.587821903,95,94,7.05E-09,2.11E-06
K08372,treatmentOrder,high,2.899006703,0.451935413,95,95,7.10E-09,2.11E-06
K13669,treatmentOrder,high,4.225070816,0.62600698,95,89,7.18E-09,2.12E-06
K03090,treatmentOrder,high,2.89127729,0.427580093,95,95,7.77E-09,2.28E-06
K13527,treatmentOrder,high,3.303482908,0.489790744,95,95,7.94E-09,2.32E-06
K05602,treatmentOrder,high,2.882145505,0.430318305,95,95,8.33E-09,2.42E-06
K03418,treatmentOrder,high,3.426620443,0.511258413,95,94,8.57E-09,2.47E-06
K16150,treatmentOrder,high,3.965347336,0.596307985,95,93,8.77E-09,2.51E-06
K08068,treatmentOrder,high,4.047528955,0.598744481,95,92,8.89E-09,2.53E-06
