	Kingdom	Phylum	Class	Order	Family	Genus
otunum1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum10	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
otunum100	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
otunum1000	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Aquella
otunum1001	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
otunum1002	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1003	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum1004	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1005	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Gallintestinimicrobium
otunum1006	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium
otunum1007	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1008	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
otunum1009	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea
otunum101	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
otunum1010	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
otunum1011	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
otunum1012	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1013	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonadaceae_unclassified
otunum1014	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1015	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1016	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1017	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1018	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1019	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum102	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
otunum1020	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
otunum1021	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles
otunum1022	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcales_unclassified	Myxococcales_unclassified
otunum1023	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
otunum1024	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
otunum1025	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
otunum1026	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter
otunum1027	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
otunum1028	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1029	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
otunum103	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae_unclassified
otunum1030	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
otunum1031	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Ancalomicrobiaceae	Ancalomicrobium
otunum1032	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1033	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1034	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium
otunum1035	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis
otunum1036	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella
otunum1037	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1038	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1039	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas
otunum104	Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax
otunum1040	Bacteria	Pseudomonadota	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
otunum1041	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
otunum1042	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
otunum1043	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Rubellimicrobium
otunum1044	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1045	Bacteria	Cyanobacteriota	Cyanobacteriota_unclassified	Cyanobacteriota_unclassified	Cyanobacteriota_unclassified	Cyanobacteriota_unclassified
otunum1046	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
otunum1047	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium
otunum1048	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified
otunum1049	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
otunum105	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1050	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae_unclassified
otunum1051	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae_unclassified
otunum1052	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae_unclassified
otunum1053	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
otunum1054	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum1055	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1056	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
otunum1057	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1058	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales_unclassified	Pseudomonadales_unclassified
otunum1059	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
otunum106	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
otunum1060	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus
otunum1061	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
otunum1062	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1063	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
otunum1064	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1065	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tabrizicola
otunum1066	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1067	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea
otunum1068	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
otunum1069	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
otunum107	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1070	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia
otunum1071	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1072	Bacteria	Pseudomonadota	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrionaceae_unclassified
otunum1073	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
otunum1074	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles
otunum1075	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1076	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1077	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1078	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1079	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum108	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
otunum1080	Bacteria	Planctomycetota	Planctomycetia	Planctomycetia_unclassified	Planctomycetia_unclassified	Planctomycetia_unclassified
otunum1081	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella
otunum1082	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Daejeonella
otunum1083	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1084	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1085	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otunum1086	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1087	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1088	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1089	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
otunum109	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
otunum1090	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
otunum1091	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Geodermatophilaceae_unclassified
otunum1092	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified
otunum1093	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1094	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1095	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
otunum1096	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
otunum1097	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified
otunum1098	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacterales_unclassified	Enterobacterales_unclassified
otunum1099	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otunum11	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
otunum110	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
otunum1100	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1101	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
otunum1102	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1103	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1104	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriales_unclassified	Mycobacteriales_unclassified
otunum1105	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1106	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1107	Bacteria	Pseudomonadota	Oligoflexia	Oligoflexales	Oligoflexales_unclassified	Oligoflexales_unclassified
otunum1108	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum1109	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum111	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Parasediminibacterium
otunum1110	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otunum1111	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
otunum1112	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	Chlorophyta
otunum1113	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum1114	Bacteria	Pseudomonadota	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax
otunum1115	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified
otunum1116	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1117	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified
otunum1119	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum112	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Cavicella
otunum1120	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1121	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1122	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae_unclassified
otunum1123	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadales_unclassified	Pseudomonadales_unclassified
otunum1124	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1125	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum1126	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
otunum1127	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum1128	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella
otunum1129	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum113	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified
otunum1130	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1131	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
otunum1132	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatellaceae_unclassified
otunum1133	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum1134	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum1135	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
otunum1136	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
otunum1137	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified
otunum1138	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Acidobacteria_Gp6_incertae_sedis	Acidobacteria_Gp6_incertae_sedis	Gp6
otunum1139	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otunum114	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
otunum1140	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1141	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
otunum1142	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum1143	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacterales_unclassified	Enterobacterales_unclassified
otunum1144	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadales_unclassified	Sphingomonadales_unclassified
otunum1145	Bacteria	Pseudomonadota	Betaproteobacteria	Procabacteriales	Procabacteriaceae	Candidatus_Procabacter
otunum1146	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified
otunum1147	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1148	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1149	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira
otunum115	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
otunum1150	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonadaceae_unclassified
otunum1151	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1152	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1153	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium
otunum1154	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Fictibacillus
otunum1155	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium
otunum1156	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1157	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
otunum1158	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_unclassified
otunum1159	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
otunum116	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1160	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira
otunum1161	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
otunum1162	Bacteria	Pseudomonadota	Pseudomonadota_unclassified	Pseudomonadota_unclassified	Pseudomonadota_unclassified	Pseudomonadota_unclassified
otunum1163	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1164	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1165	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
otunum1166	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
otunum1167	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified
otunum1168	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersiniaceae_unclassified
otunum1169	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
otunum117	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Caulifigura
otunum1170	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1171	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1172	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
otunum1173	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas
otunum1174	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_unclassified
otunum1175	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1176	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcoides
otunum1177	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae_unclassified
otunum1178	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified
otunum1179	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobiaceae_unclassified
otunum118	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1180	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydiaceae_unclassified
otunum1181	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1182	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriales_unclassified	Mycobacteriales_unclassified
otunum1183	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonosporaceae_unclassified
otunum1184	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1185	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus
otunum1186	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1187	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1188	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Sutcliffiella
otunum1189	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes
otunum119	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
otunum1190	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
otunum1191	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum1192	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
otunum1193	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystaceae_unclassified
otunum1194	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1195	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae_unclassified
otunum1196	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1197	Bacteria	Actinomycetota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
otunum1198	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
otunum1199	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified
otunum12	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
otunum120	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Reyranellaceae	Reyranella
otunum1200	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
otunum1201	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
otunum1202	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
